PLAYER,NATIONALITY,TYPE,PRICE PAID,Year
Faf Du Plessis,Batsman,"₹4,75,00,000",,2014
Dwayne Smith,Batsman,"₹4,50,00,000",,2014
Brendon McCullum,Wicket Keeper,"₹3,25,00,000",,2014
Ashish Nehra,Bowler,"₹2,00,00,000",,2014
Mohit Sharma,Bowler,"₹2,00,00,000",,2014
Ishwar Chandra Pandey,Bowler,"₹1,50,00,000",,2014
Ben Hilfenhaus,Bowler,"₹1,00,00,000",,2014
John Hastings,All-Rounder,"₹50,00,000",,2014
Samuel Badree,Bowler,"₹30,00,000",,2014
Matt Henry,Bowler,"₹30,00,000",,2014
Mithun Manhas,All-Rounder,"₹30,00,000",,2014
Vijay Shankar,All-Rounder,"₹10,00,000",,2014
Ronit More,Bowler,"₹10,00,000",,2014
Baba Aparajith,Batsman,"₹10,00,000",,2014
Pawan Negi,Bowler,"₹10,00,000",,2014
Dinesh Karthik,Wicket Keeper,"₹12,50,00,000",,2014
Kevin Pietersen,Batsman,"₹9,00,00,000",,2014
Murali Vijay,Batsman,"₹5,00,00,000",,2014
Mohammad Shami,Bowler,"₹4,25,00,000",,2014
Nathan Coulter-Nile,Bowler,"₹4,25,00,000",,2014
Quinton De Kock,Wicket Keeper,"₹3,50,00,000",,2014
Manoj Tiwary,Batsman,"₹2,80,00,000",,2014
Jaydev Unadkat,Bowler,"₹2,80,00,000",,2014
Jean-Paul Duminy,Batsman,"₹2,20,00,000",,2014
Ross Taylor,Batsman,"₹2,00,00,000",,2014
Kedar Jadhav,Batsman,"₹2,00,00,000",,2014
Rahul Sharma,Bowler,"₹1,90,00,000",,2014
Mayank Agarwal,Batsman,"₹1,60,00,000",,2014
Laxmi Ratan Shukla,All-Rounder,"₹1,50,00,000",,2014
James Neesham,All-Rounder,"₹1,00,00,000",,2014
Wayne Parnell,Bowler,"₹1,00,00,000",,2014
Shahbaz Nadeem,Bowler,"₹85,00,000",,2014
Saurabh Tiwary,Batsman,"₹70,00,000",,2014
Siddarth Kaul,Bowler,"₹45,00,000",,2014
Rahul Shukla,Bowler,"₹40,00,000",,2014
Jayant Yadav,All-Rounder,"₹10,00,000",,2014
HS Sharath,Bowler,"₹10,00,000",,2014
Milind Kumar,Batsman,"₹10,00,000",,2014
Mitchell Johnson,All-Rounder,"₹6,50,00,000",,2014
Glenn Maxwell,All-Rounder,"₹6,00,00,000",,2014
George Bailey,Batsman,"₹3,25,00,000",,2014
Virender Sehwag,Batsman,"₹3,20,00,000",,2014
Rishi Dhawan,All-Rounder,"₹3,00,00,000",,2014
Wriddhiman Saha,Wicket Keeper,"₹2,20,00,000",,2014
Shaun Marsh,Batsman,"₹2,20,00,000",,2014
Cheteshwar Pujara,Batsman,"₹1,90,00,000",,2014
Beuran Hendricks,Bowler,"₹1,80,00,000",,2014
Lakshmipathy Balaji,Bowler,"₹1,80,00,000",,2014
Thisara Perera,All-Rounder,"₹1,60,00,000",,2014
Gurkirat Singh Mann,Batsman,"₹1,30,00,000",,2014
Murali Kartik,Bowler,"₹1,00,00,000",,2014
Sandeep Sharma,Bowler,"₹85,00,000",,2014
Mandeep Hardev Singh,All-Rounder,"₹80,00,000",,2014
Akshar Rajesh Patel,All-Rounder,"₹75,00,000",,2014
Parvinder Awana,Bowler,"₹65,00,000",,2014
Shardul Narendra Thakur,Bowler,"₹20,00,000",,2014
Anureet Singh,Bowler,"₹20,00,000",,2014
Shivam Sharma,Bowler,"₹10,00,000",,2014
Karanveer Singh,All-Rounder,"₹10,00,000",,2014
Jacques Kallis,All-Rounder,"₹5,50,00,000",,2014
Robin Uthappa,Batsman,"₹5,00,00,000",,2014
Piyush Chawla,Bowler,"₹4,25,00,000",,2014
Yusuf Pathan,All-Rounder,"₹3,25,00,000",,2014
Shakib Al Hasan,All-Rounder,"₹2,80,00,000",,2014
Morne Morkel,Bowler,"₹2,80,00,000",,2014
Ranganath Vinay Kumar,Bowler,"₹2,80,00,000",,2014
Umesh Yadav,Bowler,"₹2,60,00,000",,2014
Manish Pandey,Batsman,"₹1,70,00,000",,2014
Chris Lynn,Batsman,"₹1,30,00,000",,2014
Patrick Cummins,Bowler,"₹1,00,00,000",,2014
Ryan Ten Doeschate,All-Rounder,"₹1,00,00,000",,2014
Suryakumar Yadav,Batsman,"₹70,00,000",,2014
Andre Russell,All-Rounder,"₹60,00,000",,2014
Manvinder Bisla,Wicket Keeper,"₹60,00,000",,2014
Veer Pratap Singh,Bowler,"₹40,00,000",,2014
Kuldeep Singh Yadav,Bowler,"₹40,00,000",,2014
Debabrata Das,Wicket Keeper,"₹20,00,000",,2014
Sayan Sekhar Mandal,All-Rounder,"₹10,00,000",,2014
Michael Hussey,Batsman,"₹5,00,00,000",,2014
Corey Anderson,All-Rounder,"₹4,50,00,000",,2014
Pragyan Ojha,Bowler,"₹3,25,00,000",,2014
Zaheer Khan,Bowler,"₹2,60,00,000",,2014
Aditya Tare,Wicket Keeper,"₹1,60,00,000",,2014
Jasprit Bumrah,Bowler,"₹1,20,00,000",,2014
Jalaj Saxena,All-Rounder,"₹90,00,000",,2014
Josh Hazlewood,Bowler,"₹50,00,000",,2014
Marchant De Lange,Bowler,"₹30,00,000",,2014
Krismar Santokie,Bowler,"₹30,00,000",,2014
Ben Dunk,Wicket Keeper,"₹20,00,000",,2014
C.M. Gautam,Wicket Keeper,"₹20,00,000",,2014
Apoorv Vijay Wankhade,Batsman,"₹10,00,000",,2014
Pawan Suyal,Bowler,"₹10,00,000",,2014
Sushant Marathe,Wicket Keeper,"₹10,00,000",,2014
Shreyas Gopal,Bowler,"₹10,00,000",,2014
Steven Smith,All-Rounder,"₹4,00,00,000",,2014
Brad Hodge,Batsman,"₹2,40,00,000",,2014
Rajat Bhatia,All-Rounder,"₹1,70,00,000",,2014
Tim Southee,Bowler,"₹1,20,00,000",,2014
Dhawal Kulkarni,Bowler,"₹1,10,00,000",,2014
Abhishek Nayar,All-Rounder,"₹1,00,00,000",,2014
Kane Richardson,Bowler,"₹1,00,00,000",,2014
Ben Cutting,Bowler,"₹80,00,000",,2014
Karun Nair,Batsman,"₹75,00,000",,2014
Unmukt Chand,Batsman,"₹65,00,000",,2014
Iqbal Abdullah,All-Rounder,"₹65,00,000",,2014
Deepak Hooda,Bowler,"₹40,00,000",,2014
Dishant Yagnik,Wicket Keeper,"₹30,00,000",,2014
Kevon Cooper,All-Rounder,"₹30,00,000",,2014
Vikramjeet Malik,Bowler,"₹20,00,000",,2014
Ankit Nagendra Sharma,Bowler,"₹10,00,000",,2014
Rahul Tewatia,All-Rounder,"₹10,00,000",,2014
Ankush Bains,Wicket Keeper,"₹10,00,000",,2014
Amit Mishra,Bowler,"₹10,00,000",,2014
Pravin Tambe,Bowler,"₹10,00,000",,2014
Yuvraj Singh,All-Rounder,"₹14,00,00,000",,2014
Mitchell Starc,Bowler,"₹5,00,00,000",,2014
Albie Morkel,All-Rounder,"₹2,40,00,000",,2014
Varun Aaron,Bowler,"₹2,00,00,000",,2014
Ashok Dinda,Bowler,"₹1,50,00,000",,2014
Parthiv Patel,Wicket Keeper,"₹1,40,00,000",,2014
Muttiah Muralitharan,Bowler,"₹1,00,00,000",,2014
Ravi Rampaul,Bowler,"₹90,00,000",,2014
Nic Maddinson,Batsman,"₹50,00,000",,2014
Harshal Patel,Bowler,"₹40,00,000",,2014
Vijay Zol,Batsman,"₹30,00,000",,2014
Abu Nechim Ahmed,Bowler,"₹30,00,000",,2014
Sachin Rana,Bowler,"₹20,00,000",,2014
Shadab Jakati,Bowler,"₹20,00,000",,2014
Sandeep Warrier,Bowler,"₹10,00,000",,2014
Tanmay Mishra,Batsman,"₹10,00,000",,2014
Yogesh Takawale,Wicket Keeper,"₹10,00,000",,2014
Yuzvendra Singh Chahal,Bowler,"₹10,00,000",,2014
David Warner,Batsman,"₹5,50,00,000",,2014
Amit Mishra,Bowler,"₹4,75,00,000",,2014
