POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year
1,"Sachin Tendulkar
MI",618,15,15,2,89*,47.53,466,132.61,0,5,86,3,2010
2,"Jacques Kallis
RCB",572,16,16,4,89*,47.66,494,115.78,0,6,67,9,2010
3,"Suresh Raina
CSK",520,16,16,5,83*,47.27,364,142.85,0,4,45,22,2010
4,"Sourav Ganguly
KKR",493,14,14,1,88,37.92,419,117.66,0,4,58,15,2010
5,"Murali Vijay
CSK",458,15,15,2,127,35.23,292,156.84,1,2,36,26,2010
6,"Mahela Jayawardena
PBKS",439,13,13,3,110*,43.90,298,147.31,1,1,55,11,2010
7,"Andrew Symonds
DEC",429,16,16,2,54,30.64,341,125.80,0,4,35,18,2010
8,"Saurabh Tiwary
MI",419,16,15,1,61,29.92,309,135.59,0,3,29,18,2010
9,"Rohit Sharma
DEC",404,16,16,2,73,28.85,302,133.77,0,3,36,14,2010
10,"Naman Ojha
RR",377,14,14,2,94*,31.41,285,132.28,0,2,42,15,2010
11,"Robin Uthappa
RCB",374,16,14,2,68*,31.16,218,171.55,0,3,21,27,2010
12,"Kumar Sangakkara
PBKS",357,13,12,0,56,29.75,257,138.91,0,2,47,5,2010
13,"Ambati Rayudu
MI",356,14,14,1,55*,27.38,246,144.71,0,2,34,13,2010
14,"Virender Sehwag
DC",356,14,14,0,75,25.42,218,163.30,0,3,47,14,2010
15,"Subramaniam Badrinath
CSK",356,16,15,4,55*,32.36,303,117.49,0,2,41,5,2010
16,"Matthew Hayden
CSK",346,16,16,0,93,21.62,279,124.01,0,1,37,16,2010
17,"Yusuf Pathan
RR",333,14,14,2,100,27.75,201,165.67,1,1,22,24,2010
18,"Tirumalasetti Suman
DEC",307,14,14,5,78*,34.11,257,119.45,0,2,23,12,2010
19,"Virat Kohli
RCB",307,16,13,2,58,27.90,212,144.81,0,1,26,12,2010
20,"Chris Gayle
KKR",292,9,9,0,88,32.44,184,158.69,0,2,30,16,2010
21,"Adam Gilchrist
DEC",289,16,16,0,54,18.06,185,156.21,0,1,31,16,2010
22,"MS Dhoni
CSK",287,13,11,2,66*,31.88,210,136.66,0,2,26,8,2010
23,"David Warner
DC",282,11,11,1,107*,28.20,191,147.64,1,1,27,14,2010
24,"Michael Lumb
RR",278,11,11,0,83,25.27,192,144.79,0,1,45,6,2010
25,"Dinesh Karthik
DC",278,14,14,1,69,21.38,237,117.29,0,1,26,6,2010
26,"Gautam Gambhir
DC",277,11,10,1,72,30.77,217,127.64,0,2,32,2,2010
27,"Irfan Pathan
PBKS",276,14,13,5,60,34.50,186,148.38,0,1,21,10,2010
28,"Kieron Pollard
MI",273,14,14,2,45*,22.75,147,185.71,0,0,23,17,2010
29,"Herschelle Gibbs
DEC",267,10,10,0,50,26.70,235,113.61,0,1,26,9,2010
30,"Rahul Dravid
RCB",256,16,11,2,52,28.44,199,128.64,0,1,34,3,2010
31,"Yuvraj Singh
PBKS",255,14,14,2,43,21.25,199,128.14,0,0,20,14,2010
32,"Manish Pandey
RCB",249,13,13,1,42*,20.75,226,110.17,0,0,27,7,2010
33,"Ravi Bopara
PBKS",248,10,9,1,77,31.00,214,115.88,0,2,25,3,2010
34,"Manoj Tiwary
KKR",237,13,11,2,75*,26.33,186,127.41,0,2,23,5,2010
35,"Kevin Pietersen
RCB",236,7,7,3,66*,59.00,157,150.31,0,2,23,8,2010
36,"Angelo Mathews
KKR",233,14,11,4,65*,33.28,184,126.63,0,1,18,8,2010
37,"Manvinder Bisla
PBKS",218,10,10,0,75,21.80,178,122.47,0,1,27,6,2010
38,"Paul Collingwood
DC",203,8,7,2,75*,40.60,156,130.12,0,3,9,13,2010
39,"Albie Morkel
CSK",198,14,11,3,62,24.75,131,151.14,0,1,10,13,2010
40,"Shikhar Dhawan
MI",191,10,10,0,56,19.10,170,112.35,0,2,23,3,2010
41,"Shane Watson
RR",185,6,5,0,60,37.00,114,162.28,0,2,18,9,2010
42,"Abhishek Jhunjhunwala
RR",183,13,11,2,53*,20.33,166,110.24,0,1,16,4,2010
43,"Adam Voges
RR",181,9,7,3,45*,45.25,143,126.57,0,0,15,3,2010
44,"Mohnish Mishra
DEC",166,11,11,0,41,15.09,144,115.27,0,0,18,6,2010
45,"Faiz Fazal
RR",164,10,9,1,45,20.50,154,106.49,0,0,19,1,2010
46,"JP Duminy
MI",157,7,7,2,42*,31.40,131,119.84,0,0,13,5,2010
47,"Mithun Manhas
DC",157,9,8,4,32*,39.25,149,105.36,0,0,14,0,2010
48,"Shaun Marsh
PBKS",147,4,4,1,88*,49.00,114,128.94,0,2,14,6,2010
49,"Cheteshwar Pujara
KKR",122,10,6,2,45*,30.50,115,106.08,0,0,14,3,2010
50,"Owais Shah
KKR",115,5,5,3,58*,57.50,95,121.05,0,1,7,5,2010
51,"Brendon McCullum
KKR",114,5,5,1,57*,28.50,110,103.63,0,1,14,2,2010
52,"Rajagopal Sathish
MI",112,12,11,4,24,16.00,96,116.66,0,0,11,0,2010
53,"AB de Villiers
DC",111,7,7,0,45,15.85,119,93.27,0,0,7,0,2010
54,"Paras Dogra
RR",107,9,8,0,41,13.37,106,100.94,0,0,4,5,2010
55,"Harbhajan Singh
MI",105,15,7,3,49*,26.25,63,166.66,0,0,12,5,2010
56,"Brad Hodge
KKR",99,4,4,0,50,24.75,90,110.00,0,1,11,1,2010
57,"David Hussey
KKR",94,6,6,2,31,23.50,86,109.30,0,0,5,5,2010
58,"Ross Taylor
RCB",88,7,7,3,31*,22.00,75,117.33,0,0,2,6,2010
59,"Kedar Jadhav
DC",76,5,5,2,50*,25.33,56,135.71,0,1,7,2,2010
60,"Parthiv Patel
CSK",72,4,4,0,57,18.00,79,91.13,0,1,6,2,2010
61,"Wriddhiman Saha
KKR",67,13,7,4,22,22.33,53,126.41,0,0,9,1,2010
62,"Ryan McLaren
MI",66,10,7,4,40,22.00,69,95.65,0,0,7,0,2010
63,"Andrew McDonald
DC",65,4,3,3,33*,0.00,52,125.00,0,0,3,2,2010
64,"VVS Laxman
DEC",64,6,6,1,22,12.80,60,106.66,0,0,7,1,2010
