POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year,TEAM
1,Shaun Marsh,616,11,11,2,115,68.44,441,139.68,1,5,59,26,2008,PBKS
2,Gautam Gambhir,534,14,14,1,86,41.07,379,140.89,0,5,68,8,2008,DC
3,Sanath Jayasuriya,518,14,14,2,114*,43.16,309,167.63,1,2,58,31,2008,MI
4,Shane Watson,472,15,15,5,76*,47.2,311,151.76,0,4,47,19,2008,RR
5,Graeme Smith,441,11,11,2,91,49.0,362,121.82,0,3,54,8,2008,RR
6,Adam Gilchrist,436,14,14,1,109*,33.53,318,137.1,1,3,51,19,2008,PBKS
7,Yusuf Pathan,435,16,15,1,68,31.07,243,179.01,0,4,43,25,2008,RR
8,Suresh Raina,421,16,14,3,55*,38.27,296,142.22,0,3,35,18,2008,CSK
9,MS Dhoni,414,16,14,4,65,41.4,310,133.54,0,2,38,15,2008,CSK
10,Virender Sehwag,406,14,14,2,94*,33.83,220,184.54,0,3,46,21,2008,DC
11,Rohit Sharma,404,13,12,1,76*,36.72,273,147.98,0,4,38,19,2008,DEC
12,Rahul Dravid,371,14,14,1,75*,28.53,298,124.49,0,2,35,11,2008,RCB
13,Sourav Ganguly,349,13,13,1,91,29.08,307,113.68,0,3,33,15,2008,KKR
14,Shikhar Dhawan,340,14,14,5,68*,37.77,295,115.25,0,4,35,8,2008,DC
15,Kumar Sangakkara,320,10,9,0,94,35.55,198,161.61,0,4,41,8,2008,PBKS
16,Robin Uthappa,320,14,14,5,48,35.55,279,114.69,0,0,34,9,2008,MI
17,David Hussey,319,13,13,2,71,29.0,259,123.16,0,2,19,17,2008,KKR
18,Swapnil Asnodkar,311,9,9,0,60,34.55,233,133.47,0,2,43,6,2008,RR
19,Parthiv Patel,302,13,13,2,54,27.45,297,101.68,0,2,42,3,2008,CSK
20,Yuvraj Singh,299,15,14,1,57,23.0,184,162.5,0,1,24,19,2008,PBKS
21,Venugopal Rao,288,11,10,2,71*,36.0,210,137.14,0,2,22,15,2008,DEC
22,Albie Morkel,241,13,10,3,71,34.42,163,147.85,0,1,18,14,2008,CSK
23,Mark Boucher,225,10,10,3,50*,32.14,177,127.11,0,1,24,6,2008,RCB
24,James Hopes,221,11,11,0,71,20.09,148,149.32,0,2,27,8,2008,PBKS
25,Abhishek Nayar,206,14,10,2,45*,25.75,138,149.27,0,0,16,9,2008,MI
26,Jacques Kallis,199,11,11,0,54,18.09,183,108.74,0,1,23,4,2008,RCB
27,Stephen Fleming,196,10,10,1,45,21.77,164,119.51,0,0,27,3,2008,CSK
28,Salman Butt,193,7,7,0,73,27.57,161,119.87,0,1,30,2,2008,KKR
29,Subramaniam Badrinath,192,16,11,5,64,32.0,130,147.69,0,2,21,8,2008,CSK
30,Matthew Hayden,189,4,4,1,81,63.0,131,144.27,0,2,24,6,2008,CSK
31,Brendon McCullum,188,4,4,1,158*,62.66,92,204.34,1,0,13,15,2008,KKR
32,Sachin Tendulkar,188,7,7,1,65,31.33,177,106.21,0,1,26,2,2008,MI
33,Mahela Jayawardena,179,13,12,5,45*,25.57,131,136.64,0,0,15,7,2008,PBKS
34,Dwayne Bravo,178,9,7,1,64*,29.66,134,132.83,0,1,19,5,2008,MI
35,Mohammad Kaif,176,16,14,3,34*,16.0,171,102.92,0,0,14,6,2008,RR
36,Michael Hussey,168,4,3,1,116*,84.0,100,168.0,1,0,12,11,2008,CSK
37,Herschelle Gibbs,167,9,9,0,47,18.55,153,109.15,0,0,17,8,2008,DEC
38,Virat Kohli,165,13,12,1,38,15.0,157,105.09,0,0,18,4,2008,RCB
39,Laxmi Ratan Shukla,163,13,12,4,42,20.37,122,133.6,0,0,17,5,2008,KKR
40,Andrew Symonds,161,4,3,1,117*,80.5,105,153.33,1,0,15,9,2008,DEC
41,Wriddhiman Saha,159,12,10,5,59*,31.8,119,133.61,0,1,12,7,2008,KKR
42,VVS Laxman,155,6,6,1,52,31.0,132,117.42,0,1,22,1,2008,DEC
43,Luke Pomersbach,152,5,5,4,79*,152.0,99,153.53,0,1,13,9,2008,PBKS
44,Ross Taylor,149,4,4,0,53,37.25,81,183.95,0,1,13,10,2008,RCB
45,Shaun Pollock,147,13,8,0,33,18.37,111,132.43,0,0,12,8,2008,MI
46,Vidyut Sivaramakrishnan,145,9,8,0,54,18.12,109,133.02,0,1,21,3,2008,CSK
47,Dinesh Karthik,145,13,8,2,56*,24.16,107,135.51,0,1,13,4,2008,DC
48,Ravindra Jadeja,135,14,9,2,36*,19.28,103,131.06,0,0,11,6,2008,RR
49,Irfan Pathan,131,14,10,4,40,21.83,116,112.93,0,0,9,6,2008,PBKS
50,Kamran Akmal,128,6,6,1,53*,25.6,78,164.1,0,1,13,8,2008,RR
51,MF Maharoof,125,10,8,2,39,20.83,79,158.22,0,0,10,7,2008,DC
52,Misbah-ul-Haq,117,8,8,1,47*,16.71,81,144.44,0,0,10,6,2008,RCB
53,Wasim Jaffer,115,6,6,0,50,19.16,104,110.57,0,1,12,3,2008,RCB
54,Cameron White,114,8,8,1,31*,16.28,102,111.76,0,0,8,4,2008,RCB
55,Scott Styris,112,8,8,2,36*,18.66,123,91.05,0,0,9,2,2008,DEC
56,Praveen Kumar,112,13,12,2,34,11.2,98,114.28,0,0,10,6,2008,RCB
