PLAYER, RUNS, MAT, INNS, NO, HS, AVG, BF, SR,100,50, 4S, 6S, Year, TEAM, Price, TYPE, nid, Wicket
Piyush Chawla,90,15,7,3, 24*,22.5,59,152.54,0,0,10,3,2008, PBKS,17404000, Bowler, pchawla,17
Shane Warne,70,15,7,2, 22*,14,59,118.64,0,0,7,2,2008, RR,19579500, Bowler, swarne,19
Umar Gul,39,6,4,1,24,13,19,205.26,0,0,1,5,2008, KKR,6526500, Bowler, ugul,12
Sohail Tanvir,36,11,5,2,13,12,29,124.13,0,0,3,1,2008, RR,4351000, Bowler, stanvir,22
Zaheer Khan,34,11,8,4, 17*,8.5,43,79.06,0,0,4,0,2008, RCB,19579500, Bowler, zkhan,13
Harbhajan Singh,30,3,3,1,28,15,17,176.47,0,0,1,3,2008, MI,36983500, Bowler, hsingh,5
Murali Kartik,30,6,3,0,17,10,27,111.11,0,0,3,0,2008, KKR,18491750, Bowler, mkartik,3
Ramesh Powar,28,5,1,1, 28*,0,21,133.33,0,0,4,1,2008, PBKS,7396700, Bowler, rpowar,3
Brett Lee,17,4,3,2, 16*,17,13,130.76,0,0,2,1,2008, PBKS,39159000, Bowler, blee,4
Anil Kumble,13,10,5,3,8,6.5,17,76.47,0,0,1,0,2008, RCB,21755000, Bowler, akumble,7
Makhaya Ntini,11,9,2,1,11,11,18,61.11,0,0,2,0,2008, CSK,8702000, Bowler, mntini,7
Ishant Sharma,11,13,6,5, 4*,11,11,100,0,0,1,0,2008, KKR,41334500, Bowler, isharma,7
Mohammad Asif,3,8,2,0,3,1.5,6,50,0,0,0,0,2008, DC,28281500, Bowler, masif,8
Shoaib Akhtar,2,3,1,0,2,2,7,28.57,0,0,0,0,2008, KKR,18491750, Bowler, sakhtar,5
Dale Steyn,2,10,2,1, 1*,2,5,40,0,0,0,0,2008, RCB,14140750, Bowler, dsteyn,10
Munaf Patel,0,15,2,2, 0*,0,1,0,0,0,0,0,2008, RR,11965250, Bowler, mpatel,14
