iter	RMSE
0	26995940.92
1	26871387.85
2	26727224.3
3	26591865.04
4	26448444.17
5	26286876.05
6	26178385.45
7	26071119.01
8	25986103.15
9	25879301.83
10	25748672.7
11	25687401.06
12	25615432.14
13	25466697.1
14	25371920.69
15	25293894.19
16	25220380.77
17	25134173.41
18	25019657.53
19	24947136.82
20	24882161.03
21	24821545.2
22	24763806.71
23	24665861
24	24581709.2
25	24474154.36
26	24382320.66
27	24322254.25
28	24272888.14
29	24186788.08
30	24127368.65
31	24059921.87
32	24010628.32
33	23946395.9
34	23877620.99
35	23825769.42
36	23780527.98
37	23722181.06
38	23663633.78
39	23596697.89
40	23536579.28
41	23485071.92
42	23424572.99
43	23359221.36
44	23299894.53
45	23266774.72
46	23214350.25
47	23182808.09
48	23135840.31
49	23102298.15
50	23069842.25
51	23009911.95
52	22944382.44
53	22918303.59
54	22869873.63
55	22810544.54
56	22789996.89
57	22730238.57
58	22679920.07
59	22643009.64
60	22625669.75
61	22612775.17
62	22546731.73
63	22494023.06
64	22470517.52
65	22456916.36
66	22420807.46
67	22384170.04
68	22358793.83
69	22338569.38
70	22319173.95
71	22273335.83
72	22237890.93
73	22176853.27
74	22134285.58
75	22113963.43
76	22071009.75
77	22029368.33
78	21984247.17
79	21961803.76
80	21941576.05
81	21908892.18
82	21879827.15
83	21858142.41
84	21825384.89
85	21802024.49
86	21761828.42
87	21738226.35
88	21682977.69
89	21651061.46
90	21608090.43
91	21561201.78
92	21549262.91
93	21512861.11
94	21502724.57
95	21459895.14
96	21438091
97	21397006.8
98	21367954.54
99	21340716.81
100	21315094.14
101	21308825.29
102	21286060.94
103	21250429.67
104	21215940.92
105	21191701.16
106	21165795.5
107	21149281.07
108	21135091.99
109	21089764.94
110	21049324.64
111	20985913.24
112	20951368.32
113	20926885.4
114	20883363.28
115	20868881.19
116	20848681.16
117	20806884.84
118	20786379.09
119	20751214.51
120	20744376.29
121	20698607.64
122	20678973.82
123	20652822.2
124	20640726.33
125	20623823.41
126	20616023.72
127	20605043.56
128	20585128.86
129	20551933.34
130	20536359.16
131	20520176.91
132	20492562.83
133	20475001.96
134	20458917.31
135	20429270.22
136	20407586.07
137	20357139.88
138	20317209.6
139	20267037.85
140	20257853.95
141	20244272.22
142	20210307.46
143	20182991.7
144	20161385.77
145	20128763.99
146	20122937.73
147	20108707.89
148	20076058.61
149	20043420.37
150	20018132.67
151	20003581.32
152	19993505.23
153	19957098.36
154	19938659.13
155	19935656.76
156	19910208.19
157	19868901.68
158	19856919.26
159	19822866.44
160	19773893.21
161	19752082.71
162	19747215.18
163	19706431.63
164	19677881.89
165	19654964.72
166	19644174.3
167	19599417.22
168	19586183.23
169	19577085.84
170	19526314.79
171	19504323.29
172	19471333.68
173	19427845.52
174	19394489.62
175	19360927.43
176	19312980.48
177	19302185.78
178	19255416.22
179	19231472.25
180	19205043.56
181	19191049.8
182	19176838.35
183	19140650.14
184	19071494.22
185	19035914.39
186	19001019.18
187	18975090.81
188	18951843.17
189	18914504.28
190	18886940.32
191	18861821.02
192	18845496.17
193	18822589.56
194	18775570.26
195	18758769.18
196	18747388.36
197	18720881.46
198	18710086.95
199	18697611.82
200	18680422.37
201	18634493.3
202	18599744.07
203	18567843.25
204	18565781.02
205	18549203.62
206	18535602.01
207	18493328.46
208	18471546.23
209	18463558.79
210	18429512.1
211	18403845.69
212	18389811.51
213	18367147.53
214	18335581.77
215	18326925.39
216	18298251.77
