iter	Passed	Remaining
0	49	49459
1	50	25079
2	51	17009
3	51	12882
4	52	10412
5	52	8745
6	53	7547
7	53	6660
8	53	5935
9	54	5378
10	54	4923
11	55	4534
12	55	4200
13	55	3926
14	56	3688
15	56	3479
16	56	3294
17	57	3131
18	57	2985
19	58	2853
20	58	2733
21	59	2624
22	59	2525
23	59	2434
24	60	2351
25	60	2273
26	61	2201
27	61	2134
28	61	2074
29	62	2016
30	62	1961
31	63	1911
32	63	1863
33	63	1817
34	64	1776
35	64	1737
36	65	1699
37	65	1664
38	66	1632
39	66	1600
40	67	1570
41	67	1542
42	67	1513
43	68	1486
44	68	1461
45	69	1437
46	69	1414
47	70	1392
48	70	1372
49	71	1353
50	71	1338
51	72	1321
52	72	1303
53	73	1285
54	73	1270
55	74	1254
56	74	1236
57	75	1221
58	75	1207
59	76	1193
60	76	1176
61	76	1159
62	77	1146
63	77	1133
64	77	1121
65	78	1107
66	78	1096
67	79	1085
68	79	1074
69	80	1063
70	80	1053
71	80	1042
72	81	1031
73	81	1022
74	82	1012
75	82	1003
76	82	994
77	83	986
78	83	977
79	84	969
80	84	960
81	85	952
82	85	945
83	86	938
84	86	930
85	86	923
86	87	916
87	87	909
88	88	902
89	88	895
90	89	889
91	89	882
92	89	875
93	90	869
94	90	862
95	90	856
96	91	850
97	91	843
98	92	838
99	92	831
100	92	826
101	93	818
102	93	812
103	93	807
104	94	801
105	94	796
106	94	790
107	95	785
108	95	779
109	95	774
110	96	769
111	96	763
112	96	758
113	96	753
114	97	748
115	97	743
116	97	738
117	98	733
118	98	728
119	98	723
120	98	718
121	99	713
122	99	709
123	99	705
124	100	700
125	100	696
126	100	691
127	100	687
128	101	683
129	101	679
130	101	675
131	102	671
132	102	667
133	102	663
134	102	659
135	103	655
136	103	651
137	103	648
138	104	644
139	104	640
140	104	636
141	104	633
142	105	629
143	105	626
144	105	622
145	105	619
146	106	615
147	106	612
148	106	609
149	106	606
150	107	602
151	107	599
152	107	596
153	108	593
154	108	590
155	108	586
156	108	583
157	109	580
158	109	578
159	109	575
160	109	572
161	110	569
162	110	566
163	110	563
164	110	561
165	111	558
166	111	555
167	111	553
168	112	550
169	112	548
170	112	545
171	112	543
172	113	540
173	113	538
174	113	536
175	114	533
176	114	531
177	114	529
178	114	526
179	115	524
180	115	522
181	115	520
182	115	517
183	116	515
184	116	513
185	116	511
186	117	509
187	117	507
188	117	504
189	117	502
190	118	500
191	118	498
192	118	496
193	119	494
194	119	492
195	119	490
196	119	489
197	120	487
198	120	485
199	120	483
200	121	481
201	121	479
202	121	477
203	121	475
204	122	473
205	122	471
206	122	469
207	122	468
208	123	466
209	123	464
210	123	462
211	124	461
212	124	459
213	124	457
214	124	456
215	125	454
216	125	452
217	125	451
218	126	449
219	126	447
220	126	446
221	126	444
222	127	442
223	127	441
224	127	439
225	127	438
226	128	436
227	128	435
228	128	433
229	129	432
230	129	430
231	129	429
232	129	427
233	130	426
234	130	424
235	130	423
236	130	421
237	131	420
238	131	418
239	131	417
240	132	416
241	132	414
242	132	413
243	132	411
244	133	410
245	133	409
246	133	407
247	134	406
248	134	405
249	134	403
250	134	402
251	135	401
252	135	400
253	135	398
254	136	397
255	136	396
256	136	395
257	136	393
258	137	392
259	137	391
260	137	389
261	137	388
262	138	387
263	138	386
264	138	385
265	139	383
266	139	382
267	139	381
268	139	380
269	140	379
270	140	378
271	140	376
272	141	375
273	141	374
274	141	373
275	141	372
276	142	371
277	142	370
278	142	369
279	143	367
280	143	366
281	143	365
282	143	364
283	144	363
284	144	362
285	144	361
286	145	360
287	145	359
288	145	358
289	146	357
290	146	356
291	146	355
292	146	354
293	147	353
294	147	352
295	147	351
296	148	350
297	148	349
298	148	348
299	149	347
300	149	346
301	149	345
302	149	344
303	150	343
304	150	342
305	150	342
306	151	341
307	151	340
308	151	339
309	151	338
310	152	337
311	152	336
312	152	335
313	153	334
314	153	333
315	153	332
316	153	331
317	154	330
318	154	329
319	154	328
320	154	327
321	155	326
322	155	325
323	155	325
324	156	324
325	156	323
326	156	322
327	156	321
328	157	320
329	157	319
330	157	319
331	158	318
332	158	317
333	158	316
334	158	315
335	159	314
336	159	313
337	159	313
338	160	312
339	160	311
340	160	310
341	160	309
342	161	308
343	161	307
344	161	307
345	162	306
346	162	305
347	162	304
348	162	303
349	163	303
350	163	302
351	163	301
352	164	300
353	164	299
354	164	299
355	164	298
356	165	297
357	165	296
358	165	295
359	166	295
