PLAYER,TYPE,PRICE PAID,Year
Christopher Morris,All-Rounder,37500000,2013
Dirk Nannes,Bowler,36000000,2013
Ben Laughlin,Bowler,1200000,2013
Akila Dananjaya,All-Rounder,1200000,2013
Jason Holder,Bowler,1200000,2013
Johan Botha,All-Rounder,27000000,2013
Jesse Ryder,All-Rounder,15600000,2013
Jeevan Mendis,All-Rounder,3000000,2013
Manpreet Gony,Bowler,30000000,2013
Luke Pomersbach,Batsman,18000000,2013
Sachithra Senanayaka,All-Rounder,37500000,2013
Ryan McLaren,Bowler,3000000,2013
Glenn Maxwell,All-Rounder,60000000,2013
Nathan Coulter-Nile,Bowler,27000000,2013
Ricky Ponting,Batsman,24000000,2013
Philip Hughes,Batsman,6000000,2013
Jacob Oram,All-Rounder,3000000,2013
Ajantha Mendis,Bowler,43500000,2013
Kane Richardson,Bowler,42000000,2013
Abhishek Nayar,All-Rounder,40500000,2013
Michael Clarke,Batsman,24000000,2013
James Faulkner,All-Rounder,24000000,2013
Fidel Edwards,Bowler,12600000,2013
Kusal Janith Perera,Wicket Keeper,1200000,2013
Jaydev Unadkat,Bowler,31500000,2013
Rudra Pratap Singh,Bowler,24000000,2013
Moises Henriques,All-Rounder,18000000,2013
Ravi Rampaul,Bowler,17400000,2013
Pankaj Singh,Bowler,9000000,2013
Daniel Christian,All-Rounder,6000000,2013
Christopher Barnwell,All-Rounder,3000000,2013
Thisara Perera,All-Rounder,40500000,2013
Darren Sammy,All-Rounder,25500000,2013
Sudeep Tyagi,Bowler,6000000,2013
Clinton McKay,Bowler,6000000,2013
Nathan McCullum,Bowler,6000000,2013
Quinton De Kock,Wicket Keeper,1200000,2013
Faf Du Plessis,Batsman,37500000,2014
Dwayne Smith,Batsman,36000000,2014
Brendon McCullum,Wicket Keeper,1200000,2014
Ashish Nehra,Bowler,1200000,2014
Mohit Sharma,Bowler,1200000,2014
Ishwar Chandra Pandey,Bowler,27000000,2014
Ben Hilfenhaus,Bowler,15600000,2014
John Hastings,All-Rounder,3000000,2014
Samuel Badree,Bowler,30000000,2014
Matt Henry,Bowler,18000000,2014
Mithun Manhas,All-Rounder,37500000,2014
Vijay Shankar,All-Rounder,3000000,2014
Ronit More,Bowler,60000000,2014
Baba Aparajith,Batsman,27000000,2014
Pawan Negi,Bowler,24000000,2014
Dinesh Karthik,Wicket Keeper,6000000,2014
Kevin Pietersen,Batsman,3000000,2014
Murali Vijay,Batsman,43500000,2014
Mohammad Shami,Bowler,42000000,2014
Nathan Coulter-Nile,Bowler,40500000,2014
Quinton De Kock,Wicket Keeper,24000000,2014
Manoj Tiwary,Batsman,24000000,2014
Jaydev Unadkat,Bowler,12600000,2014
