PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year,TEAM,Price,TYPE
Sanath Jayasuriya,518,14,14,2,114*,43.16,309,167.63,1,2,58,31,2008,MI,42422250.0,All-rounder
Shane Watson,472,15,15,5,76*,47.2,311,151.76,0,4,47,19,2008,RR,5438750.0,All-rounder
Yusuf Pathan,435,16,15,1,68,31.07,243,179.01,0,4,43,25,2008,RR,20667250.0,All-rounder
Albie Morkel,241,13,10,3,71,34.42,163,147.85,0,1,18,14,2008,CSK,29369250.0,All-rounder
James Hopes,221,11,11,0,71,20.09,148,149.32,0,2,27,8,2008,PBKS,13053000.0,All-rounder
Jacques Kallis,199,11,11,0,54,18.09,183,108.74,0,1,23,4,2008,RCB,39159000.0,All-rounder
Virat Kohli,165,13,12,1,38,15.0,157,105.09,0,0,18,4,2008,RCB,2175500.0,All-rounder
Andrew Symonds,161,4,3,1,117*,80.5,105,153.33,1,0,15,9,2008,DEC,58738500.0,All-rounder
Shaun Pollock,147,13,8,0,33,18.37,111,132.43,0,0,12,8,2008,MI,23930500.0,All-rounder
Irfan Pathan,131,14,10,4,40,21.83,116,112.93,0,0,9,6,2008,PBKS,40246750.0,All-rounder
Cameron White,114,8,8,1,31*,16.28,102,111.76,0,0,8,4,2008,RCB,21755000.0,All-rounder
Scott Styris,112,8,8,2,36*,18.66,123,91.05,0,0,9,2,2008,DEC,7614250.0,All-rounder
Tillakaratne Dilshan,104,7,7,1,33,17.33,79,131.64,0,0,14,3,2008,DC,10877500.0,All-rounder
Shreevats Goswami,82,4,3,0,52,27.33,85,96.47,0,1,9,1,2008,RCB,1305300.0,All-rounder
Shahid Afridi,81,10,9,1,33,10.12,46,176.08,0,0,7,6,2008,DEC,29369250.0,All-rounder
Ajit Agarkar,54,9,6,1,20,10.8,46,117.39,0,0,5,2,2008,KKR,15228500.0,All-rounder
Shoaib Malik,52,7,5,1,24,13.0,47,110.63,0,0,5,0,2008,DC,21755000.0,All-rounder
Saurabh Tiwary,26,3,2,0,17,13.0,20,130.0,0,0,3,1,2008,MI,2175500.0,All-rounder
Mohammad Hafeez,20,8,3,1,13,10.0,22,90.9,0,0,2,1,2008,KKR,4351000.0,All-rounder
Jacob Oram,18,4,3,2,13,18.0,12,150.0,0,0,1,1,2008,CSK,29369250.0,All-rounder
Joginder Sharma,16,8,3,1,16,8.0,11,145.45,0,0,1,1,2008,CSK,9789750.0,All-rounder
Taruwar Kohli,10,2,2,0,7,5.0,15,66.66,0,0,0,1,2008,RR,1305300.0,All-rounder
Dimitri Mascarenhas,9,1,1,0,9,9.0,8,112.5,0,0,0,1,2008,RR,4351000.0,All-rounder
Tanmay Srivastava,8,5,2,1,7,8.0,10,80.0,0,0,0,0,2008,PBKS,2175500.0,All-rounder
Manish Pandey,3,3,2,0,3,1.5,9,33.33,0,0,0,0,2008,MI,1305300.0,All-rounder
Pradeep Sangwan,2,7,2,0,2,1.0,5,40.0,0,0,0,0,2008,DC,2175500.0,All-rounder
Iqbal Abdulla,1,1,1,1,1*,0.0,2,50.0,0,0,0,0,2008,KKR,1305300.0,All-rounder
Abhinav Mukund,0,2,1,0,0*,0.0,1,0.0,0,0,0,0,2008,CSK,2175500.0,All-rounder
JP Duminy,372,13,12,3,62,41.33,325,114.46,0,5,26,11,2009,MI,46550000.0,All-rounder
Dwayne Smith,215,8,8,0,49,26.87,132,162.87,0,0,12,15,2009,DEC,4900000.0,All-rounder
Ravi Bopara,138,5,5,0,84,27.6,119,115.96,0,1,8,7,2009,PBKS,22050000.0,All-rounder
Andrew Flintoff,62,3,3,1,24,31.0,53,116.98,0,0,5,2,2009,CSK,75950000.0,All-rounder
Jesse Ryder,56,5,5,0,32,11.2,49,114.28,0,0,9,0,2009,RCB,7840000.0,All-rounder
