RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year,Price,TYPE
90,15,7,3,24*,22.5,59,152.54,0,0,10,3,2008,17404000.0,Bowler
70,15,7,2,22*,14.0,59,118.64,0,0,7,2,2008,19579500.0,Bowler
39,6,4,1,24,13.0,19,205.26,0,0,1,5,2008,6526500.0,Bowler
36,11,5,2,13,12.0,29,124.13,0,0,3,1,2008,4351000.0,Bowler
34,11,8,4,17*,8.5,43,79.06,0,0,4,0,2008,19579500.0,Bowler
30,3,3,1,28,15.0,17,176.47,0,0,1,3,2008,36983500.0,Bowler
30,6,3,0,17,10.0,27,111.11,0,0,3,0,2008,18491750.0,Bowler
28,5,1,1,28*,0.0,21,133.33,0,0,4,1,2008,7396700.0,Bowler
21,5,4,1,12*,7.0,18,116.66,0,0,0,1,2008,8702000.0,Bowler
17,4,3,2,16*,17.0,13,130.76,0,0,2,1,2008,39159000.0,Bowler
13,10,5,3,8,6.5,17,76.47,0,0,1,0,2008,21755000.0,Bowler
11,3,2,1,10*,11.0,9,122.22,0,0,1,0,2008,4786099.999999999,Bowler
11,9,2,1,11,11.0,18,61.11,0,0,2,0,2008,8702000.0,Bowler
11,13,6,5,4*,11.0,11,100.0,0,0,1,0,2008,41334500.0,Bowler
3,8,2,0,3,1.5,6,50.0,0,0,0,0,2008,28281500.0,Bowler
2,3,1,0,2,2.0,7,28.57,0,0,0,0,2008,18491750.0,Bowler
2,5,1,1,2*,0.0,1,200.0,0,0,0,0,2008,6526500.0,Bowler
2,10,2,1,1*,2.0,5,40.0,0,0,0,0,2008,14140750.0,Bowler
0,1,1,1,0*,0.0,2,0.0,0,0,0,0,2008,2175500.0,Bowler
0,15,2,2,0*,0.0,1,0.0,0,0,0,0,2008,11965250.0,Bowler
2,1,1,1,2*,0.0,2,100.0,0,0,0,0,2009,29400000.0,Bowler
2,2,2,1,1*,2.0,7,28.57,0,0,0,0,2009,6860000.0,Bowler
50,13,7,1,18,8.33,47,106.38,0,0,4,1,2011,49000000.0,Bowler
5,5,1,1,5*,0.0,8,62.5,0,0,0,0,2011,10780000.0,Bowler
111,4,4,0,47,27.75,101,109.9,0,0,11,5,2012,3640000.0,Bowler
68,15,7,2,25,13.6,62,109.67,0,0,3,2,2012,52000000.0,Bowler
38,6,4,2,14,19.0,20,190.0,0,0,3,3,2012,2600000.0,Bowler
32,5,5,2,16*,10.66,30,106.66,0,0,3,1,2012,5200000.0,Bowler
15,9,3,1,13,7.5,16,93.75,0,0,1,0,2012,9360000.0,Bowler
12,1,1,1,12*,0.0,9,133.33,0,0,1,0,2012,2600000.0,Bowler
9,15,2,1,9*,9.0,7,128.57,0,0,2,0,2012,36400000.0,Bowler
6,10,2,0,6,3.0,9,66.66,0,0,0,0,2012,11440000.0,Bowler
45,8,5,1,42,11.25,25,180.0,0,0,4,3,2013,30000000.0,Bowler
38,10,6,2,23*,9.5,37,102.7,0,0,3,1,2013,17400000.0,Bowler
34,3,2,0,26,17.0,36,94.44,0,0,2,1,2013,42000000.0,Bowler
9,1,1,0,9,9.0,6,150.0,0,0,0,1,2013,27000000.0,Bowler
4,2,2,1,4*,4.0,9,44.44,0,0,0,0,2013,1200000.0,Bowler
3,2,2,0,2,1.5,6,50.0,0,0,0,0,2013,3000000.0,Bowler
2,3,1,0,2,2.0,4,50.0,0,0,0,0,2013,43500000.0,Bowler
85,14,9,3,29,14.16,84,101.19,0,0,9,0,2014,50000000.0,Bowler
73,9,7,4,19*,24.33,65,112.3,0,0,7,1,2014,2000000.0,Bowler
42,14,8,4,17*,10.5,29,144.82,0,0,1,3,2014,37500000.0,Bowler
35,8,2,2,28*,0.0,25,140.0,0,0,1,2,2014,11000000.0,Bowler
35,10,3,3,17*,0.0,34,102.94,0,0,2,1,2014,20000000.0,Bowler
31,11,5,2,17*,10.33,19,163.15,0,0,4,1,2014,42500000.0,Bowler
18,3,3,2,14,18.0,21,85.71,0,0,2,0,2014,6000000.0,Bowler
16,1,1,0,16,16.0,12,133.33,0,0,2,1,2014,7500000.0,Bowler
13,2,1,0,13,13.0,13,100.0,0,0,0,1,2014,9000000.0,Bowler
13,3,3,1,6,6.5,7,185.71,0,0,1,1,2014,4000000.0,Bowler
11,4,1,0,11,11.0,10,110.0,0,0,1,0,2014,1000000.0,Bowler
8,1,1,0,8,8.0,6,133.33,0,0,0,1,2014,8000000.0,Bowler
8,6,4,3,7*,8.0,7,114.28,0,0,0,1,2014,26000000.0,Bowler
7,11,3,1,3*,3.5,19,36.84,0,0,0,0,2014,40500000.0,Bowler
5,4,2,1,4,5.0,3,166.66,0,0,1,0,2014,1000000.0,Bowler
5,13,2,0,3,2.5,9,55.55,0,0,0,0,2014,1000000.0,Bowler
4,3,1,0,4,4.0,4,100.0,0,0,1,0,2014,12000000.0,Bowler
4,9,3,2,2*,4.0,12,33.33,0,0,0,0,2014,15000000.0,Bowler
4,10,2,1,4*,4.0,7,57.14,0,0,0,0,2014,1000000.0,Bowler
4,10,2,1,4*,4.0,7,57.14,0,0,0,0,2014,47500000.0,Bowler
4,12,2,2,4*,0.0,3,133.33,0,0,0,0,2014,28000000.0,Bowler
3,12,4,2,1*,1.5,7,42.85,0,0,0,0,2014,42000000.0,Bowler
2,5,1,1,2*,0.0,2,100.0,0,0,0,0,2014,6000000.0,Bowler
2,8,2,1,2,2.0,2,100.0,0,0,0,0,2014,3000000.0,Bowler
2,11,1,1,2*,0.0,5,40.0,0,0,0,0,2014,8500000.0,Bowler
2,12,1,0,2,2.0,4,50.0,0,0,0,0,2014,26000000.0,Bowler
1,1,1,1,1*,0.0,2,50.0,0,0,0,0,2014,2000000.0,Bowler
1,7,1,0,1,1.0,2,50.0,0,0,0,0,2014,10000000.0,Bowler
1,9,2,1,1*,1.0,6,16.66,0,0,0,0,2014,12600000.0,Bowler
