PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year,TEAM,Price,TYPE
Piyush Chawla,90,15,7,3,24*,22.5,59,152.54,0,0,10,3,2008,PBKS,17404000.0,Bowler
Shane Warne,70,15,7,2,22*,14.0,59,118.64,0,0,7,2,2008,RR,19579500.0,Bowler
Umar Gul,39,6,4,1,24,13.0,19,205.26,0,0,1,5,2008,KKR,6526500.0,Bowler
Sohail Tanvir,36,11,5,2,13,12.0,29,124.13,0,0,3,1,2008,RR,4351000.0,Bowler
Zaheer Khan,34,11,8,4,17*,8.5,43,79.06,0,0,4,0,2008,RCB,19579500.0,Bowler
Harbhajan Singh,30,3,3,1,28,15.0,17,176.47,0,0,1,3,2008,MI,36983500.0,Bowler
Murali Kartik,30,6,3,0,17,10.0,27,111.11,0,0,3,0,2008,KKR,18491750.0,Bowler
Ramesh Powar,28,5,1,1,28*,0.0,21,133.33,0,0,4,1,2008,PBKS,7396700.0,Bowler
Chaminda Vaas,21,5,4,1,12*,7.0,18,116.66,0,0,0,1,2008,DEC,8702000.0,Bowler
Brett Lee,17,4,3,2,16*,17.0,13,130.76,0,0,2,1,2008,PBKS,39159000.0,Bowler
Anil Kumble,13,10,5,3,8,6.5,17,76.47,0,0,1,0,2008,RCB,21755000.0,Bowler
Nuwan Zoysa,11,3,2,1,10*,11.0,9,122.22,0,0,1,0,2008,DEC,4786099.999999999,Bowler
Makhaya Ntini,11,9,2,1,11,11.0,18,61.11,0,0,2,0,2008,CSK,8702000.0,Bowler
Ishant Sharma,11,13,6,5,4*,11.0,11,100.0,0,0,1,0,2008,KKR,41334500.0,Bowler
Mohammad Asif,3,8,2,0,3,1.5,6,50.0,0,0,0,0,2008,DC,28281500.0,Bowler
Shoaib Akhtar,2,3,1,0,2,2.0,7,28.57,0,0,0,0,2008,KKR,18491750.0,Bowler
Dilhara Fernando,2,5,1,1,2*,0.0,1,200.0,0,0,0,0,2008,MI,6526500.0,Bowler
Dale Steyn,2,10,2,1,1*,2.0,5,40.0,0,0,0,0,2008,RCB,14140750.0,Bowler
Abdur Razzak,0,1,1,1,0*,0.0,2,0.0,0,0,0,0,2008,RCB,2175500.0,Bowler
