POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year,TEAM,Price,TYPE
2,Gautam Gambhir,534,14,14,1,86,41.07,379,140.89,0,5,68,8,2008,DC,31544750.0,Batsman
3,Sanath Jayasuriya,518,14,14,2,114*,43.16,309,167.63,1,2,58,31,2008,MI,42422250.0,Allrounder
4,Shane Watson,472,15,15,5,76*,47.2,311,151.76,0,4,47,19,2008,RR,5438750.0,Allrounder
5,Graeme Smith,441,11,11,2,91,49.0,362,121.82,0,3,54,8,2008,RR,10877500.0,Batsman
6,Adam Gilchrist,436,14,14,1,109*,33.53,318,137.1,1,3,51,19,2008,PBKS,30457000.0,Wicket keeper
7,Yusuf Pathan,435,16,15,1,68,31.07,243,179.01,0,4,43,25,2008,RR,20667250.0,Allrounder
8,Suresh Raina,421,16,14,3,55*,38.27,296,142.22,0,3,35,18,2008,CSK,28281500.0,Batsman
9,MS Dhoni,414,16,14,4,65,41.4,310,133.54,0,2,38,15,2008,CSK,65265000.0,Wicketkeeper
11,Rohit Sharma,404,13,12,1,76*,36.72,273,147.98,0,4,38,19,2008,DEC,32632500.0,Batsman
15,Kumar Sangakkara,320,10,9,0,94,35.55,198,161.61,0,4,41,8,2008,PBKS,30457000.0,Wicketkeeper-batsman
16,Robin Uthappa,320,14,14,5,48,35.55,279,114.69,0,0,34,9,2008,MI,34808000.0,Batsman
17,David Hussey,319,13,13,2,71,29.0,259,123.16,0,2,19,17,2008,KKR,27193750.0,Batsman
19,Parthiv Patel,302,13,13,2,54,27.45,297,101.68,0,2,42,3,2008,CSK,14140750.0,Wicketkeeper
22,Albie Morkel,241,13,10,3,71,34.42,163,147.85,0,1,18,14,2008,CSK,29369250.0,Allrounder
23,Mark Boucher,225,10,10,3,50*,32.14,177,127.11,0,1,24,6,2008,RCB,19579500.0,Wicketkeeper
24,James Hopes,221,11,11,0,71,20.09,148,149.32,0,2,27,8,2008,PBKS,13053000.0,Allrounder
26,Jacques Kallis,199,11,11,0,54,18.09,183,108.74,0,1,23,4,2008,RCB,39159000.0,Allrounder
27,Stephen Fleming,196,10,10,1,45,21.77,164,119.51,0,0,27,3,2008,CSK,15228500.0,Batsman
28,Salman Butt,193,7,7,0,73,27.57,161,119.87,0,1,30,2,2008,KKR,4351000.0,Batsman
30,Matthew Hayden,189,4,4,1,81,63.0,131,144.27,0,2,24,6,2008,CSK,16316250.0,Batsman
31,Brendon McCullum,188,4,4,1,158*,62.66,92,204.34,1,0,13,15,2008,KKR,30457000.0,Wicketkeeper
35,Mohammad Kaif,176,16,14,3,34*,16.0,171,102.92,0,0,14,6,2008,RR,29369250.0,Batsman
37,Herschelle Gibbs,167,9,9,0,47,18.55,153,109.15,0,0,17,8,2008,DEC,25018250.0,Batsman
38,Virat Kohli,165,13,12,1,38,15.0,157,105.09,0,0,18,4,2008,RCB,2175500.0,
40,Andrew Symonds,161,4,3,1,117*,80.5,105,153.33,1,0,15,9,2008,DEC,58738500.0,Allrounder
42,VVS Laxman,155,6,6,1,52,31.0,132,117.42,0,1,22,1,2008,DEC,16316250.0,Batsman
43,Luke Pomersbach,152,5,5,4,79*,152.0,99,153.53,0,1,13,9,2008,PBKS,2175500.0,Batsman
44,Ross Taylor,149,4,4,0,53,37.25,81,183.95,0,1,13,10,2008,RCB,4351000.0,Batsman
45,Shaun Pollock,147,13,8,0,33,18.37,111,132.43,0,0,12,8,2008,MI,23930500.0,Allrounder
47,Dinesh Karthik,145,13,8,2,56*,24.16,107,135.51,0,1,13,4,2008,DC,22842750.0,Wicketkeeper
49,Irfan Pathan,131,14,10,4,40,21.83,116,112.93,0,0,9,6,2008,PBKS,40246750.0,Allrounder
50,Kamran Akmal,128,6,6,1,53*,25.6,78,164.1,0,1,13,8,2008,RR,6526500.0,Wicketkeeper
52,Misbah-ul-Haq,117,8,8,1,47*,16.71,81,144.44,0,0,10,6,2008,RCB,5438750.0,Batsman
53,Wasim Jaffer,115,6,6,0,50,19.16,104,110.57,0,1,12,3,2008,RCB,6526500.0,Batsman
54,Cameron White,114,8,8,1,31*,16.28,102,111.76,0,0,8,4,2008,RCB,21755000.0,Allrounder
55,Scott Styris,112,8,8,2,36*,18.66,123,91.05,0,0,9,2,2008,DEC,7614250.0,Allrounder
58,Tillakaratne Dilshan,104,7,7,1,33,17.33,79,131.64,0,0,14,3,2008,DC,10877500.0,Allrounder
59,Manoj Tiwary,104,9,7,3,39,26.0,85,122.35,0,0,16,0,2008,DC,29369250.0,Batsman
63,AB de Villiers,95,6,6,1,26*,19.0,98,96.93,0,0,5,1,2008,DC,13053000.0,Wicketkeeper
64,Piyush Chawla,90,15,7,3,24*,22.5,59,152.54,0,0,10,3,2008,PBKS,17404000.0,Bowler
65,Shreevats Goswami,82,4,3,0,52,27.33,85,96.47,0,1,9,1,2008,RCB,1305300.0,
66,Shahid Afridi,81,10,9,1,33,10.12,46,176.08,0,0,7,6,2008,DEC,29369250.0,Allrounder
69,Shane Warne,70,15,7,2,22*,14.0,59,118.64,0,0,7,2,2008,RR,19579500.0,Bowler
70,Ajit Agarkar,54,9,6,1,20,10.8,46,117.39,0,0,5,2,2008,KKR,15228500.0,Allrounder
71,Shoaib Malik,52,7,5,1,24,13.0,47,110.63,0,0,5,0,2008,DC,21755000.0,Allrounder
78,Ricky Ponting,39,4,4,0,20,9.75,53,73.58,0,0,2,1,2008,KKR,17404000.0,Batsman
80,Umar Gul,39,6,4,1,24,13.0,19,205.26,0,0,1,5,2008,KKR,6526500.0,Bowler
82,Sohail Tanvir,36,11,5,2,13,12.0,29,124.13,0,0,3,1,2008,RR,4351000.0,Bowler
88,Zaheer Khan,34,11,8,4,17*,8.5,43,79.06,0,0,4,0,2008,RCB,19579500.0,Bowler
91,Harbhajan Singh,30,3,3,1,28,15.0,17,176.47,0,0,1,3,2008,MI,36983500.0,Bowler
92,Murali Kartik,30,6,3,0,17,10.0,27,111.11,0,0,3,0,2008,KKR,18491750.0,Bowler
93,Ramesh Powar,28,5,1,1,28*,0.0,21,133.33,0,0,4,1,2008,PBKS,7396700.0,Bowler
95,Saurabh Tiwary,26,3,2,0,17,13.0,20,130.0,0,0,3,1,2008,MI,2175500.0,
101,Chaminda Vaas,21,5,4,1,12*,7.0,18,116.66,0,0,0,1,2008,DEC,8702000.0,Bowler
103,Mohammad Hafeez,20,8,3,1,13,10.0,22,90.9,0,0,2,1,2008,KKR,4351000.0,All-rounder
106,Jacob Oram,18,4,3,2,13,18.0,12,150.0,0,0,1,1,2008,CSK,29369250.0,Allrounder
107,Brett Lee,17,4,3,2,16*,17.0,13,130.76,0,0,2,1,2008,PBKS,39159000.0,Bowler
109,Joginder Sharma,16,8,3,1,16,8.0,11,145.45,0,0,1,1,2008,CSK,9789750.0,Allrounder
112,Anil Kumble,13,10,5,3,8,6.5,17,76.47,0,0,1,0,2008,RCB,21755000.0,Bowler
114,Nuwan Zoysa,11,3,2,1,10*,11.0,9,122.22,0,0,1,0,2008,DEC,4786099.999999999,Bowler
115,Makhaya Ntini,11,9,2,1,11,11.0,18,61.11,0,0,2,0,2008,CSK,8702000.0,Bowler
116,Ishant Sharma,11,13,6,5,4*,11.0,11,100.0,0,0,1,0,2008,KKR,41334500.0,Bowler
117,Taruwar Kohli,10,2,2,0,7,5.0,15,66.66,0,0,0,1,2008,RR,1305300.0,
119,Dimitri Mascarenhas,9,1,1,0,9,9.0,8,112.5,0,0,0,1,2008,RR,4351000.0,Allrounder
120,Tanmay Srivastava,8,5,2,1,7,8.0,10,80.0,0,0,0,0,2008,PBKS,2175500.0,
129,Younis Khan,3,1,1,0,3,3.0,7,42.85,0,0,0,0,2008,RR,9789750.0,Batsman
131,Manish Pandey,3,3,2,0,3,1.5,9,33.33,0,0,0,0,2008,MI,1305300.0,
132,Mohammad Asif,3,8,2,0,3,1.5,6,50.0,0,0,0,0,2008,DC,28281500.0,Bowler
136,Shoaib Akhtar,2,3,1,0,2,2.0,7,28.57,0,0,0,0,2008,KKR,18491750.0,Bowler
137,Dilhara Fernando,2,5,1,1,2*,0.0,1,200.0,0,0,0,0,2008,MI,6526500.0,Bowler
138,Pradeep Sangwan,2,7,2,0,2,1.0,5,40.0,0,0,0,0,2008,DC,2175500.0,
139,Dale Steyn,2,10,2,1,1*,2.0,5,40.0,0,0,0,0,2008,RCB,14140750.0,Bowler
143,Iqbal Abdulla,1,1,1,1,1*,0.0,2,50.0,0,0,0,0,2008,KKR,1305300.0,
147,Abdur Razzak,0,1,1,1,0*,0.0,2,0.0,0,0,0,0,2008,RCB,2175500.0,Bowler
148,Abhinav Mukund,0,2,1,0,0*,0.0,1,0.0,0,0,0,0,2008,CSK,2175500.0,
150,Munaf Patel,0,15,2,2,0*,0.0,1,0.0,0,0,0,0,2008,RR,11965250.0,Bowler
4,JP Duminy,372,13,12,3,62,41.33,325,114.46,0,5,26,11,2009,MI,46550000.0,All-Rounder
24,Dwayne Smith,215,8,8,0,49,26.87,132,162.87,0,0,12,15,2009,DEC,4900000.0,All-Rounder
38,Ravi Bopara,138,5,5,0,84,27.6,119,115.96,0,1,8,7,2009,PBKS,22050000.0,All-Rounder
48,Kevin Pietersen,93,6,6,0,37,15.5,85,109.41,0,0,8,2,2009,RCB,75950000.0,Batsman
59,Andrew Flintoff,62,3,3,1,24,31.0,53,116.98,0,0,5,2,2009,CSK,75950000.0,All-Rounder
61,Jesse Ryder,56,5,5,0,32,11.2,49,114.28,0,0,9,0,2009,RCB,7840000.0,All-Rounder
67,George Bailey,45,3,2,0,30,22.5,39,115.38,0,0,7,0,2009,CSK,2450000.0,Batsman
98,Tyron Henderson,11,2,2,0,11,5.5,16,68.75,0,0,0,1,2009,RR,31850000.0,All-Rounder
115,Mashrafe Mortaza,2,1,1,1,2*,0.0,2,100.0,0,0,0,0,2009,KKR,29400000.0,Bowler
116,Mohammad Ashraful,2,1,1,0,2,2.0,10,20.0,0,0,0,0,2009,MI,3675000.0,Batsman
117,Thilan Thushara,2,2,2,1,1*,2.0,7,28.57,0,0,0,0,2009,CSK,6860000.0,Bowler
20,Brendon McCullum,357,13,13,0,81,27.46,275,129.81,0,1,35,16,2011,KTK,44100000.0,Batsman
29,Brad Hodge,285,14,14,6,51*,35.62,236,120.76,0,1,26,9,2011,KTK,23275000.0,Batsman
30,Ravindra Jadeja,283,14,12,3,47,31.44,228,124.12,0,0,20,14,2011,KTK,98000000.0,All-rounder
40,Parthiv Patel,202,14,13,3,37*,20.2,183,110.38,0,0,25,2,2011,KTK,31850000.0,Batsman
78,Vinay Kumar,50,13,7,1,18,8.33,47,106.38,0,0,4,1,2011,KTK,49000000.0,Bowler
107,Thisara Perera,23,4,2,0,22,11.5,27,85.18,0,0,4,0,2011,KTK,31850000.0,All-rounder
127,Ramesh Powar,11,5,3,2,8*,11.0,13,84.61,0,0,0,0,2011,KTK,7840000.0,All-rounder
